"","x"
"1",132.639999389648
"2",132.690002441406
"3",134.380004882812
"4",134.410003662109
"5",135.300003051758
"6",136.419998168945
"7",137.600006103516
"8",137.199996948242
"9",138.399993896484
"10",137.479995727539
"11",135.960006713867
"12",133.690002441406
"13",131.169998168945
"14",129.429992675781
"15",131.339996337891
"16",132.339996337891
"17",131.759994506836
"18",134.059997558594
"19",133.809997558594
"20",133.669998168945
"21",134.240005493164
"22",132.160003662109
"23",132.080001831055
"24",132.899993896484
"25",134.440002441406
"26",132.839996337891
"27",133.919998168945
"28",133.399993896484
"29",134.240005493164
"30",135.360000610352
"31",135.479995727539
"32",138.380004882812
"33",138.940002441406
"34",139.539993286133
"35",140.330001831055
"36",141.070007324219
"37",142.970001220703
"38",143.449996948242
"39",144.179992675781
"40",143.330001831055
"41",144.169998168945
"42",144.449996948242
"43",144.240005493164
"44",146.179992675781
"45",145.910003662109
"46",142.490005493164
"47",143.25
"48",143.119995117188
"49",141.910003662109
"50",141.869995117188
"51",140.639999389648
"52",140.660003662109
"53",141.410003662109
"54",142.279998779297
"55",141.490005493164
"56",143.410003662109
"57",143.550003051758
"58",145.350006103516
"59",146.020004272461
"60",146.449996948242
"61",146.860000610352
"62",146.830001831055
"63",147.940002441406
"64",148.130004882812
"65",148.059997558594
"66",147.520004272461
"67",147.679992675781
"68",148.380004882812
"69",146.300003051758
"70",146.550003051758
"71",147.350006103516
"72",145.990005493164
"73",145.089996337891
"74",146.520004272461
"75",149.830001831055
"76",147.380004882812
"77",146.910003662109
"78",146.479995727539
"79",143.240005493164
"80",143.169998168945
"81",141.580001831055
"82",140.300003051758
"83",140.800003051758
"84",140.389999389648
"85",141.070007324219
"86",141.520004272461
"87",142.029998779297
"88",142.199996948242
"89",142.110000610352
"90",143.229995727539
"91",141.240005493164
"92",138.460006713867
"93",139.210006713867
"94",140.320007324219
"95",139.970001220703
"96",138.009994506836
"97",137.160003662109
"98",136.380004882812
"99",137.789993286133
"100",137.080001831055
"101",143.759994506836
"102",142.520004272461
"103",142.630004882812
"104",144.639999389648
"105",145.399993896484
"106",147.009994506836
"107",147.899993896484
"108",148.970001220703
"109",148.830001831055
"110",148.029998779297
"111",146.619995117188
"112",149.020004272461
"113",148.100006103516
"114",150.410003662109
"115",152.580001831055
"116",153.059997558594
"117",152.889999389648
"118",154.350006103516
"119",153.910003662109
"120",155.130004882812
"121",155.179992675781
"122",155.570007324219
"123",155.649993896484
"124",156.410003662109
"125",158.559997558594
"126",160.550003051758
"127",161.100006103516
"128",161.389999389648
"129",160.279998779297
"130",160.220001220703
"131",161.960006713867
"132",163.509994506836
"133",164.710006713867
"134",163.619995117188
"135",162.910003662109
"136",162.229995727539
"137",162.740005493164
"138",161.559997558594
"139",160.050003051758
"140",160.779998779297
"141",162.139999389648
"142",163.210006713867
"143",163.460006713867
"144",163.75
"145",163.550003051758
"146",161.5
"147",160.100006103516
"148",160.860000610352
"149",159.160003662109
"150",161.139999389648
"151",160.080001831055
"152",161.229995727539
"153",162.160003662109
"154",165.800003051758
"155",166.960006713867
"156",166.080001831055
"157",166.839996337891
"158",171.479995727539
"159",172.830001831055
"160",173.940002441406
"161",173.929992675781
"162",190.429992675781
"163",187.419998168945
"164",187.139999389648
"165",187.869995117188
"166",183.660003662109
"167",186.899993896484
"168",185.789993286133
"169",183.419998168945
"170",183.410003662109
"171",183.740005493164
"172",184.360000610352
"173",186.339996337891
"174",186.160003662109
"175",183.699996948242
"176",183.570007324219
"177",186.869995117188
"178",187.639999389648
"179",183.440002441406
"180",179.699996948242
"181",184.210006713867
"182",185.720001220703
"183",184.130004882812
"184",184.869995117188
"185",185.300003051758
"186",185.029998779297
"187",188.199996948242
"188",193.059997558594
"189",191.949996948242
"190",196.160003662109
"191",196.539993286133
"192",195.949996948242
"193",191.729995727539
"194",197.779998779297
"195",196.699996948242
"196",193.429992675781
"197",191.070007324219
"198",191.690002441406
"199",193.339996337891
"200",193.960006713867
"201",191.899993896484
"202",190.839996337891
"203",188.789993286133
"204",188.5
"205",190.800003051758
"206",190.960006713867
"207",189.830001831055
"208",188.880004882812
"209",190.899993896484
"210",187.940002441406
"211",189.139999389648
"212",189.820007324219
"213",189.309997558594
"214",186.039993286133
"215",185.899993896484
"216",182.270004272461
"217",181.25
"218",183.75
"219",183.100006103516
"220",181.470001220703
"221",181.580001831055
"222",181.899993896484
"223",182.190002441406
"224",184.100006103516
"225",168.910003662109
"226",167.130004882812
"227",167.429992675781
"228",166.199996948242
"229",164.429992675781
"230",164.690002441406
"231",165.710006713867
"232",168.610000610352
"233",168.380004882812
"234",169.899993896484
"235",166.270004272461
"236",167.149993896484
"237",167.559997558594
"238",167.360000610352
"239",168.259994506836
"240",168.970001220703
"241",169.029998779297
"242",169.919998168945
"243",173.470001220703
"244",173.690002441406
"245",170.669998168945
"246",170.889999389648
"247",169.660003662109
"248",167.050003051758
